group	species	occurrence
birds	sp22689695	4056
birds	sp22711716	4041
birds	sp22722057	4033
birds	sp22722706	4032
birds	sp22695060	4031
birds	sp22725930	4028
birds	sp22728969	4021
birds	sp22685441	4014
birds	sp22720935	4014
birds	sp22679789	4009
birds	sp22686751	4000
birds	sp22712358	3995
birds	sp22697710	3994
birds	sp22698796	3994
birds	sp22700523	3992
birds	sp61741628	3992
birds	sp22733377	3988
birds	sp22713544	3986
birds	sp22700599	3983
birds	sp22700291	3976
birds	sp22683249	3972
birds	sp22684249	3970
birds	sp22696553	3967
birds	sp22696120	3952
birds	sp22721642	3945
birds	sp22679946	3943
birds	sp22715023	3939
birds	sp22706805	3936
birds	sp22692192	3935
birds	sp22713934	3934
birds	sp22718505	3934
birds	sp22696926	3933
birds	sp22716921	3933
birds	sp22717411	3932
birds	sp22711202	3928
birds	sp22720951	3922
birds	sp22699620	3916
birds	sp22720592	3914
birds	sp22712236	3910
birds	sp22693983	3904
birds	sp22710689	3903
birds	sp22695926	3902
birds	sp22723012	3895
birds	sp22714445	3894
birds	sp22721731	3894
birds	sp22709691	3889
birds	sp22680387	3888
birds	sp22713440	3873
birds	sp22686476	3871
birds	sp22710870	3870
birds	sp22721147	3866
birds	sp22693075	3857
birds	sp22686759	3854
birds	sp22723018	3853
birds	sp22724031	3852
birds	sp22684334	3842
birds	sp22711273	3842
birds	sp22706495	3836
birds	sp22718477	3836
birds	sp22699027	3833
birds	sp22679500	3831
birds	sp22721144	3829
birds	sp22695097	3826
birds	sp22680384	3823
birds	sp22695726	3822
birds	sp22683753	3819
birds	sp22695527	3819
birds	sp22697133	3819
birds	sp22682874	3817
birds	sp22689977	3810
birds	sp22699889	3805
birds	sp22721310	3802
birds	sp22724256	3802
birds	sp22705234	3798
birds	sp22710066	3797
birds	sp22724320	3792
birds	sp22683702	3790
birds	sp22702471	3787
birds	sp22694136	3785
birds	sp22690008	3782
birds	sp22695565	3781
birds	sp22712194	3779
birds	sp22722290	3776
birds	sp22684229	3774
birds	sp22717222	3773
birds	sp22696193	3768
birds	sp22714528	3768
birds	sp22721995	3767
birds	sp22684379	3760
birds	sp22707505	3760
birds	sp22683655	3759
birds	sp22724057	3757
birds	sp22722450	3753
birds	sp22680115	3751
birds	sp22720553	3750
birds	sp22682337	3746
birds	sp22695402	3746
birds	sp22690774	3745
birds	sp22709927	3738
birds	sp22697630	3736
birds	sp22718345	3728
birds	sp22715284	3721
birds	sp22689636	3715
birds	sp22714684	3714
birds	sp22708702	3709
birds	sp22709331	3709
birds	sp22680221	3707
birds	sp22690635	3707
birds	sp22697611	3705
birds	sp22692980	3702
birds	sp22681243	3696
birds	sp22716971	3695
birds	sp22688138	3694
birds	sp22699230	3688
birds	sp22707082	3676
birds	sp22711467	3676
birds	sp22691893	3673
birds	sp22696354	3671
birds	sp22696473	3670
birds	sp22683776	3668
birds	sp22721857	3663
birds	sp22709297	3656
birds	sp22723000	3650
birds	sp22699886	3649
birds	sp22720543	3649
birds	sp45429607	3649
birds	sp22696938	3647
birds	sp22694462	3646
birds	sp22698813	3643
birds	sp22723951	3638
birds	sp22705783	3633
